family,genus,species,museum,date,year,country,location,latitude,longitude,reference,holotype,checked
Cistugidae,Cistugo,lesueuri,TM2286,1917-09-15,1917,South Africa,Franschoek valley,-33.73,18.97,Van Cakenberghe & Seamark 2022,Holotype,NA
Cistugidae,Cistugo,lesueuri,KM2025,1933-06-01,1933,South Africa,"Bedford, SE",-32.88,26.24,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,KM2031,1933-10-01,1933,South Africa,"Bedford, SE",-32.88,26.24,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,TM29310,1978-07-12,1978,South Africa,Saasveld Forest,-33.97,22.52,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,TM29511,1979-01-22,1979,South Africa,Karoo NP,-32.33,22.55,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,KM24805,1979-02-03,1979,Lesotho,Sehlabathebe NP,-29.87,29.08,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,TM35121,1982-08-25,1982,South Africa,Algeria Forest Research Station,-32.4,19.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB6887,1988-01-02,1988,Lesotho,Matelanong,-29.38,29.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB6696,1988-11-27,1988,Lesotho,Sehlabathebe NP,-29.87,29.08,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7036,1989-04-17,1989,Lesotho,"Lepaqoa, Pelaneng",-29.13,28.38,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7268,1989-10-17,1989,Lesotho,Marakabei,-29.62,28.12,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7902,1990-11-27,1990,South Africa,Golden Gate,-28.38,28.63,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7847,1990-11-28,1990,South Africa,"Arrarat, Sterkfontein Dam",-28.38,28.88,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB7700,1990-12-03,1990,South Africa,"Waterval, Warden",-27.88,29.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB8158,1991-10-15,1991,Lesotho,"Mahlanapeng, Thaba-Tseka",-29.63,28.63,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB8289,1991-12-02,1991,Lesotho,Pallang,-29.88,27.88,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB8483,1992-05-03,1992,Lesotho,"Moqotoane, Thaba-Tseka",-29.63,28.88,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,NMB? (JW142),2004-02-09,2004,South Africa,Karoo NP,-32.33,22.55,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,MYO001J,NA,NA,South Africa,Jonkershoek,-33.88,18.88,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,lesueuri,MYO002J,NA,NA,South Africa,Mazelsfontein,-29.13,23.67,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,lesueuri,KM26055,NA,NA,South Africa,Rocherspan,-32.67,18.38,Kearney & van Schalkwyk 2009,NA,NA
Cistugidae,Cistugo,lesueuri,MMK2496,NA,NA,South Africa,Algeria Forest Research Station,-32.4,19.13,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,DM88,NA,NA,South Africa,"Clarens, near",-28.52,28.42,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,lesueuri,DM7504,NA,NA,South Africa,Kamberg Valley,-29.75,29.36,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,KM1889,1936-12-31,1936,South Africa,Goodhouse,-28.9,18.25,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,USNM00342632,1963-10-12,1963,South Africa,"Springbok, 10km",-29.67,17.87,Monadjem et al. 2020,NA,NA
Cistugidae,Cistugo,seabrae,SMM4392,1973-02-14,1973,Namibia,"Gorraris 99, Maltahohe",-24.88,16.38,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,SMM9757,1979-10-16,1979,Namibia,Skeleton Coast NP,-20.88,13.63,Monadjem et al. 2020,NA,Yes
Cistugidae,Cistugo,seabrae,TM31277,1979-10-16,1979,Namibia,Skeleton Coast NP,-20.88,13.63,Monadjem et al. 2020,NA,Yes
